2022-12-28 11:42:54,247 | CrawlVideoFacebookService | [INFO] | NUMBER OF POST CRAWLED: 0
2022-12-28 13:41:26,803 | CrawlVideoFacebookService | [INFO] | NUMBER OF POST CRAWLED: 0
2022-12-28 13:53:45,791 | CrawlVideoFacebookService | [INFO] | NUMBER OF POST CRAWLED: 0
2022-12-28 13:56:32,703 | CrawlVideoFacebookService | [INFO] | NUMBER OF POST CRAWLED: 0
2022-12-28 14:06:37,574 | CrawlVideoFacebookService | [INFO] | NUMBER OF POST CRAWLED: 0
2022-12-28 14:44:34,013 | urllib3.connectionpool | [WARNING] | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))': /session/6c182b0e-5216-4efd-8c74-4d25c89dc086/element/31a1a0e1-c748-41bc-a4ba-ba684def7626/text
2022-12-28 14:50:02,506 | CrawlVideoFacebookService | [INFO] | NUMBER OF POST CRAWLED: 0
2022-12-28 15:42:25,301 | CrawlVideoFacebookService | [INFO] | NUMBER OF POST CRAWLED: 2
2022-12-28 18:39:22,627 | CrawlVideoFacebookService | [INFO] | NUMBER OF POST CRAWLED: 16
2022-12-29 08:56:20,182 | urllib3.connectionpool | [WARNING] | Connection pool is full, discarding connection: localhost. Connection pool size: 1
2022-12-29 08:56:20,183 | urllib3.connectionpool | [WARNING] | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))': /session/6938e7c4-99fc-45fc-aaed-36d8d0e7141b/window
2022-12-29 09:18:26,834 | CrawlVideoFacebookService | [INFO] | NUMBER OF POST CRAWLED: 23
2022-12-29 09:20:20,051 | CrawlVideoFacebookService | [INFO] | NUMBER OF POST CRAWLED: 23
2022-12-29 09:24:08,741 | CrawlVideoFacebookService | [INFO] | NUMBER OF POST CRAWLED: 23
2022-12-29 09:36:17,142 | urllib3.connectionpool | [WARNING] | Connection pool is full, discarding connection: localhost. Connection pool size: 1
2022-12-29 09:38:03,436 | CrawlVideoFacebookService | [INFO] | NUMBER OF POST CRAWLED: 26
2022-12-29 09:46:57,333 | CrawlVideoFacebookService | [INFO] | NUMBER OF POST CRAWLED: 27
2022-12-29 09:47:05,979 | CrawlVideoFacebookService | [INFO] | NUMBER OF POST CRAWLED: 27
2022-12-29 09:51:27,033 | CrawlVideoFacebookService | [INFO] | NUMBER OF POST CRAWLED: 27
2022-12-29 09:57:26,160 | CrawlVideoFacebookService | [INFO] | NUMBER OF POST CRAWLED: 27
2022-12-29 09:58:03,482 | CrawlVideoFacebookService | [INFO] | NUMBER OF POST CRAWLED: 27
2022-12-29 10:02:38,944 | CrawlVideoFacebookService | [INFO] | NUMBER OF POST CRAWLED: 27
2022-12-29 10:05:43,772 | CrawlVideoFacebookService | [INFO] | NUMBER OF POST CRAWLED: 27
2022-12-29 10:10:17,230 | CrawlVideoFacebookService | [INFO] | NUMBER OF POST CRAWLED: 27
2022-12-29 10:29:29,991 | CrawlVideoFacebookService | [INFO] | NUMBER OF POST CRAWLED: 32
2022-12-29 10:42:10,496 | CrawlVideoFacebookService | [INFO] | NUMBER OF POST CRAWLED: 33
